"gene_id","Control72h1","Control72h2","Control72h3","OVA72h1","OVA72h2","OVA72h3","OVA72h4"
"0610009B22Rik",17.68648,16.264982,16.755919,27.859354,24.553688,24.369213,22.941029
"0610010F05Rik",5.870707,6.752209608,5.874761122,5.99277095,6.028335,7.014529,6.734052
"0610010K14Rik",25.49200027,20.3656037,23.15965447,30.96352634,30.50249712,29.52722321,30.24002495
"0610012G03Rik",12.006964,10.607736,10.306022,19.194569,16.002804,15.235435,17.246635
"0610030E20Rik",15.150563,16.624907,16.920446,10.030478,11.213363,11.688368,12.211702
"0610040J01Rik",7.961154,7.332623,7.501151,13.185643,9.953817,10.226985,13.205997
"1110002E22Rik",0.020124,0.086615,0.025954,0.033607,0,0.013977,0.066873
"1110004F10Rik",53.557621,52.309055,47.582676,60.675354,57.083057,60.106876,57.113445
"1110008P14Rik",20.086109,22.525934,17.159397,44.388153,37.113346,37.73333,39.088444
"1110012L19Rik",15.765752,16.977848,13.503235,18.046509,19.228405,20.949503,16.176653
"1110017D15Rik",8.737320671,10.93745673,8.692901993,12.58925203,7.213450079,10.49706398,9.459373613
"1110025L11Rik",0,0,0,0,0,0,0
"1110032A03Rik",7.63783786,7.580373291,6.258897754,7.852639886,6.860392684,7.055517871,6.685342368
"1110032F04Rik",0.077337,0.242833,0.084339,0.192884,0.391793,0.13902,0.133224
"1110038F14Rik",16.74819659,12.2716908,17.59763717,10.99248905,13.24909717,15.24615271,16.89544662
"1110051M20Rik",3.711452545,3.923865991,3.666093435,4.417590689,3.035006641,3.422584787,3.215994001
"1110059E24Rik",19.180969,22.314312,17.804514,28.58786,28.136906,26.677069,26.780258
"1110059G10Rik",6.090445,5.830602,5.941605,8.390083,7.226674,8.001367,7.157941
"1110065P20Rik",8.675756952,6.758242561,8.508621272,18.24616637,13.4709332,12.68023858,13.80391467
"1190005I06Rik",0.426852,0,0.416915,1.059805,0.114947,0.440585,0.513244
"1190007I07Rik",3.596131449,6.050177496,4.423871198,4.387209027,3.33560406,3.417400241,5.204403976
"1300017J02Rik",0,0.040224,0.07417,0.031304,0.021095,0.078801,0
"1500009L16Rik",3.229362,2.606784,1.917877,4.778094,3.780433,3.21481,3.979023
"1600002K03Rik",8.507382,8.968104,8.508636,16.070021,8.931709,16.028135,13.717992
